Semester;College;Level;Major;Nationality;Gender;Total Registered
Fall 2015;Arts and Sciences;Foundation;Science Foundation;Non-Qatari;Female;55
Fall 2015;Arts and Sciences;Undergraduate;Arabic Language;Non-Qatari;Female;44
Fall 2015;Arts and Sciences;Undergraduate;Biomedical Sciences;Qatari;Female;12
Fall 2015;Arts and Sciences;Undergraduate;Chemistry;Non-Qatari;Male;31
Fall 2015;Arts and Sciences;Undergraduate;General Sport Science;Non-Qatari;Male;3
Fall 2015;Arts and Sciences;Undergraduate;Policy, Planning, and Dev;Non-Qatari;Female;50
Fall 2015;Arts and Sciences;Undergraduate;Sociology;Non-Qatari;Female;111
Fall 2015;Arts and Sciences;Master;Applied Statistics;Qatari;Female;2
Fall 2015;Arts and Sciences;Master;Arabic Language & Literature;Non-Qatari;Male;1
Fall 2015;Arts and Sciences;Master;Environmental Sciences;Non-Qatari;Female;5
Fall 2015;Arts and Sciences;Master;Environmental Sciences;Qatari;Female;5
Fall 2015;Arts and Sciences;Master;Gulf Studies;Non-Qatari;Male;6
Fall 2015;Arts and Sciences;Master;Gulf Studies;Qatari;Female;12
Fall 2015;Arts and Sciences;Master;Public Health;Non-Qatari;Female;8
Fall 2015;Arts and Sciences;Certificate;Arab Lang Stdy for N-Nat Spk;Non-Qatari;Female;28
Fall 2015;Business and Economics;Undergraduate;Accounting;Non-Qatari;Female;94
Fall 2015;Business and Economics;Undergraduate;Economics;Non-Qatari;Male;1
Fall 2015;Business and Economics;Undergraduate;Economics;Qatari;Female;43
Fall 2015;Business and Economics;Undergraduate;Management;Non-Qatari;Male;33
Fall 2015;Business and Economics;Undergraduate;Management Information Systems;Non-Qatari;Female;8
Fall 2015;Business and Economics;Undergraduate;Marketing;Qatari;Male;32
Fall 2015;Education;Undergraduate;Secondary Education;Qatari;Female;139
Fall 2015;Engineering;Undergraduate;Computer Science;Qatari;Male;16
Fall 2015;Engineering;Master;Civil Engineering;Non-Qatari;Male;20
Fall 2015;Engineering;Doctorate - PhD;Computer Science;Non-Qatari;Male;2
Fall 2015;Engineering;Doctorate - PhD;Computer Science;Qatari;Female;1
Fall 2015;Law;Master;Private Law;Qatari;Male;3
Fall 2015;Sharia and Islamic Studies;Master;Fiqh and Usul Al Fiqh;Qatari;Male;7
Spring 2016;Education;Undergraduate;Primary Education;Qatari;Female;362
Spring 2016;Education;Undergraduate;Secondary Education;Non-Qatari;Male;32
Spring 2016;Education;Undergraduate;Secondary Education;Qatari;Male;8
Spring 2016;Education;Master;Curriculum,Instruc. & Assessm.;Qatari;Female;2
Spring 2016;Engineering;Foundation;Engineering Foundation;Non-Qatari;Female;28
Spring 2016;Engineering;Master;Computing;Non-Qatari;Female;18
Spring 2016;Engineering;Doctorate - PhD;Electrical Engineering;Non-Qatari;Female;2
Spring 2016;Law;Master;Private Law;Non-Qatari;Female;2
Spring 2016;Pharmacy;Undergraduate;General Pharmacy;Qatari;Female;10
Spring 2016;Pharmacy;Undergraduate;Pharmacy;Qatari;Female;8
Spring 2016;Pharmacy;Master;Pharmacy;Non-Qatari;Female;12
Spring 2016;Sharia and Islamic Studies;Undergraduate;Dawa;Qatari;Male;23
Spring 2016;Sharia and Islamic Studies;Undergraduate;Islamic Studies;Qatari;Male;14
Spring 2016;Sharia and Islamic Studies;Master;Quranic Sciences and Exegesis;Non-Qatari;Female;9
Fall 2016;Arts and Sciences;Undergraduate;Biology;Qatari;Female;18
Fall 2016;Arts and Sciences;Undergraduate;History;Qatari;Male;14
Fall 2016;Arts and Sciences;Undergraduate;International Affairs;Non-Qatari;Female;46
Fall 2016;Arts and Sciences;Undergraduate;Policy, Planning, and Dev;Qatari;Male;41
Fall 2016;Arts and Sciences;Undergraduate;Social Work;Non-Qatari;Male;2
Fall 2016;Arts and Sciences;Undergraduate;Statistics;Non-Qatari;Male;18
Fall 2016;Arts and Sciences;Master;Environmental Sciences;Non-Qatari;Female;9
Fall 2016;Arts and Sciences;Master;Gulf Studies;Non-Qatari;Female;16
Fall 2016;Arts and Sciences;Master;Public Health;Non-Qatari;Male;4
Fall 2016;Arts and Sciences;Master;Public Health;Qatari;Female;3
Fall 2016;Arts and Sciences;Doctorate - PhD;Biological & Environmental Sci;Qatari;Male;1
Fall 2016;Arts and Sciences;Certificate;Arab Lang Stdy for N-Nat Spk;Non-Qatari;Female;34
Fall 2016;Business and Economics;Undergraduate;General Business;Non-Qatari;Male;220
Fall 2016;Business and Economics;Undergraduate;General Business;Qatari;Female;1226
Fall 2016;Education;Undergraduate;Education (Math & Sci);Non-Qatari;Male;2
Fall 2016;Education;Diploma;Secondary Education;Qatari;Male;1
Fall 2016;Education;Diploma;Special Education;Non-Qatari;Female;6
Fall 2016;Education;Master;Education Leadership;Non-Qatari;Female;10
Fall 2016;Engineering;Undergraduate;Chemical Engineering;Qatari;Female;102
Fall 2016;Engineering;Undergraduate;Computer Science;Qatari;Female;73
Fall 2016;Engineering;Undergraduate;Computer Science;Qatari;Male;22
Fall 2016;Engineering;Undergraduate;Electrical Engineering;Non-Qatari;Male;205
Fall 2016;Engineering;Undergraduate;General Engineering;Qatari;Male;27
Fall 2016;Engineering;Master;Civil Engineering;Non-Qatari;Female;1
Fall 2016;Engineering;Master;Environmental Engineering;Qatari;Male;2
Fall 2016;Health Sciences;Master;Public Health;Non-Qatari;Female;8
Fall 2016;Law;Undergraduate;Law;Non-Qatari;Female;109
Fall 2016;Medicine;Undergraduate;General Medicine;Non-Qatari;Female;30
Fall 2016;Pharmacy;Undergraduate;General Pharmacy;Non-Qatari;Female;45
Fall 2016;Sharia and Islamic Studies;Undergraduate;Dawa;Qatari;Female;146
Fall 2016;Sharia and Islamic Studies;Undergraduate;Sharia;Non-Qatari;Female;1
Fall 2016;Sharia and Islamic Studies;Master;Fiqh and Usul Al Fiqh;Non-Qatari;Male;22
Fall 2016;Sharia and Islamic Studies;Master;Quranic Sciences and Exegesis;Qatari;Male;16
Spring 2017;Arts and Sciences;Foundation;Science Foundation;Non-Qatari;Male;28
Spring 2017;Arts and Sciences;Undergraduate;Chemistry;Qatari;Male;1
Spring 2017;Arts and Sciences;Undergraduate;Environmental Sciences;Qatari;Female;23
Spring 2017;Arts and Sciences;Undergraduate;Social Work;Qatari;Female;282
Spring 2017;Arts and Sciences;Undergraduate;Sport Science;Non-Qatari;Female;53
Spring 2017;Arts and Sciences;Undergraduate;Sport Science;Qatari;Male;6
Spring 2017;Arts and Sciences;Undergraduate;Statistics;Qatari;Female;28
Spring 2017;Arts and Sciences;Master;Material Sci and Technology;Qatari;Female;1
Spring 2017;Arts and Sciences;Certificate;Arab Lang Stdy for N-Nat Spk;Non-Qatari;Male;24
Spring 2017;Business and Economics;Undergraduate;Management;Non-Qatari;Female;55
Spring 2017;Business and Economics;Undergraduate;Management;Qatari;Female;248
Spring 2017;Business and Economics;Master;Accounting;Non-Qatari;Female;10
Spring 2017;Business and Economics;Doctorate - PhD;Business Administration;Non-Qatari;Female;2
Spring 2017;Education;Undergraduate;General Education;Qatari;Female;430
Spring 2017;Education;Undergraduate;Secondary Education;Non-Qatari;Male;32
Spring 2017;Education;Master;Education Leadership;Qatari;Male;1
Spring 2017;Education;Master;Special Education;Qatari;Female;2
Spring 2017;Engineering;Undergraduate;General Engineering;Non-Qatari;Male;45
Spring 2017;Engineering;Master;Environmental Engineering;Qatari;Male;1
Spring 2017;Engineering;Doctorate - PhD;Civil Engineering;Non-Qatari;Male;3
Spring 2017;Health Sciences;Master;Public Health;Non-Qatari;Female;8
Spring 2017;Law;Master;Private Law;Non-Qatari;Female;5
Spring 2017;Law;Master;Public Law;Qatari;Female;19
Spring 2017;Law;Master;Public Law;Qatari;Male;13
Spring 2017;No College Designated;Undergraduate;Undeclared;Non-Qatari;Female;19
Spring 2017;Pharmacy;Undergraduate;General Pharmacy;Non-Qatari;Female;57
Fall 2017;Arts and Sciences;Undergraduate;Environmental Sciences;Non-Qatari;Female;79
Fall 2017;Arts and Sciences;Undergraduate;General Arts;Qatari;Female;1401
Fall 2017;Arts and Sciences;Undergraduate;General Science;Qatari;Female;108
Fall 2017;Arts and Sciences;Undergraduate;International Affairs;Qatari;Female;286
Fall 2017;Arts and Sciences;Undergraduate;Policy, Planning, and Dev;Non-Qatari;Female;71
Fall 2017;Arts and Sciences;Undergraduate;Policy, Planning, and Dev;Qatari;Male;43
Fall 2017;Arts and Sciences;Undergraduate;Psychology;Qatari;Female;146
Fall 2017;Arts and Sciences;Undergraduate;Statistics;Non-Qatari;Male;14
Fall 2017;Arts and Sciences;Master;Arabic Language & Literature;Non-Qatari;Female;10
Fall 2017;Arts and Sciences;Master;Arabic Language & Literature;Non-Qatari;Male;4
Fall 2017;Arts and Sciences;Master;Gulf Studies;Qatari;Female;9
Fall 2017;Business and Economics;Master;Marketing;Non-Qatari;Male;5
Fall 2017;Education;Undergraduate;Education (Math & Sci);Non-Qatari;Female;2
Fall 2017;Education;Undergraduate;General Education;Non-Qatari;Female;103
Fall 2017;Education;Diploma;Early Childhood;Qatari;Female;9
Fall 2017;Engineering;Undergraduate;Chemical Engineering;Non-Qatari;Male;96
Fall 2017;Engineering;Undergraduate;Computer Engineering;Qatari;Female;150
Fall 2017;Engineering;Undergraduate;Electrical Engineering;Qatari;Female;75
Fall 2017;Engineering;Master;Civil Engineering;Non-Qatari;Female;1
Fall 2017;Engineering;Master;Computing;Non-Qatari;Female;26
Fall 2017;Engineering;Master;Urban Planning and Design;Qatari;Female;5
Fall 2017;Engineering;Doctorate - PhD;Chemical Engineering;Non-Qatari;Male;3
Fall 2017;Engineering;Doctorate - PhD;Computer Engineering;Non-Qatari;Male;1
Fall 2017;Engineering;Doctorate - PhD;Engineering Management;Qatari;Female;3
Fall 2017;Engineering;Doctorate - PhD;Material Sci and Engin;Qatari;Female;1
Fall 2017;Health Sciences;Master;Biomedical Sciences;Qatari;Male;2
Fall 2017;Law;Master;Public Law;Non-Qatari;Female;1
Fall 2017;Law;Master;Public Law;Qatari;Female;21
Fall 2017;Medicine;Undergraduate;General Medicine;Non-Qatari;Male;14
Fall 2017;No College Designated;Undergraduate;Undeclared;Qatari;Female;91
Fall 2017;Pharmacy;Undergraduate;Pharmacy;Qatari;Female;11
Fall 2017;Pharmacy;Doctor in PharmD;Pharmacy-Part Time;Non-Qatari;Male;1
Fall 2017;Pharmacy;Master;Pharmacy;Non-Qatari;Female;19
Fall 2017;Pharmacy;Master;Pharmacy;Non-Qatari;Male;5
Fall 2017;Sharia and Islamic Studies;Undergraduate;Islamic Studies;Qatari;Male;10
Spring 2018;Arts and Sciences;Foundation;Science Foundation;Qatari;Female;52
Spring 2018;Arts and Sciences;Undergraduate;General Science;Non-Qatari;Male;44
Spring 2018;Arts and Sciences;Undergraduate;General Sport Science;Non-Qatari;Male;1
Spring 2018;Arts and Sciences;Undergraduate;History;Non-Qatari;Female;21
Spring 2018;Arts and Sciences;Undergraduate;Policy, Planning, and Dev;Qatari;Female;396
Spring 2018;Arts and Sciences;Master;Applied Statistics;Non-Qatari;Male;6
Spring 2018;Arts and Sciences;Master;Gulf Studies;Qatari;Male;1
Spring 2018;Arts and Sciences;Doctorate - PhD;Biological & Environmental Sci;Non-Qatari;Male;4
Spring 2018;Business and Economics;Undergraduate;Economics;Non-Qatari;Female;24
Spring 2018;Business and Economics;Undergraduate;General Business;Qatari;Male;547
Spring 2018;Business and Economics;Undergraduate;Management;Qatari;Male;94
Spring 2018;Business and Economics;Master;Marketing;Qatari;Female;11
Spring 2018;Education;Undergraduate;General Education;Non-Qatari;Male;21
Spring 2018;Education;Undergraduate;General Education;Qatari;Male;12
Spring 2018;Education;Undergraduate;Primary Education;Qatari;Female;402
Spring 2018;Education;Undergraduate;Special Education;Qatari;Female;88
Spring 2018;Education;Diploma;Early Childhood;Non-Qatari;Female;5
Spring 2018;Education;Master;Education Leadership;Non-Qatari;Female;12
Spring 2018;Engineering;Undergraduate;General Engineering;Qatari;Female;76
Spring 2018;Engineering;Master;Computing;Non-Qatari;Male;7
Spring 2018;Engineering;Master;Environmental Engineering;Non-Qatari;Male;7
Spring 2018;Engineering;Doctorate - PhD;Electrical Engineering;Non-Qatari;Female;3
Spring 2018;Engineering;Doctorate - PhD;Engineering Management;Non-Qatari;Female;2
Spring 2018;Engineering;Doctorate - PhD;Material Sci and Engin;Non-Qatari;Female;1
Spring 2018;Engineering;Doctorate - PhD;Urban Planning and Design;Non-Qatari;Male;1
Spring 2018;Health Sciences;Undergraduate;Biomedical Sciences;Qatari;Female;15
Spring 2018;Health Sciences;Master;Public Health;Non-Qatari;Female;19
Spring 2018;Law;Undergraduate;Law;Qatari;Male;322
Spring 2018;Medicine;Undergraduate;Medicine;Non-Qatari;Female;46
Spring 2018;Pharmacy;Undergraduate;General Pharmacy;Non-Qatari;Female;59
Spring 2018;Sharia and Islamic Studies;Master;Quranic Sciences and Exegesis;Non-Qatari;Female;13
Fall 2018;Arts and Sciences;Undergraduate;International Affairs;Qatari;Male;100
Fall 2018;Arts and Sciences;Undergraduate;Sport Science;Non-Qatari;Female;33
Fall 2018;Arts and Sciences;Undergraduate;Sport Science;Qatari;Female;32
Fall 2018;Arts and Sciences;Master;Gulf Studies;Qatari;Male;3
Fall 2018;Arts and Sciences;Doctorate - PhD;Gulf Studies;Non-Qatari;Male;13
Fall 2018;Business and Economics;Undergraduate;Accounting;Non-Qatari;Female;88
Fall 2018;Business and Economics;Undergraduate;General Business;Non-Qatari;Female;272
Fall 2018;Business and Economics;Undergraduate;Management;Non-Qatari;Male;23
Fall 2018;Business and Economics;Master;Business Administration;Qatari;Male;10
Fall 2018;Education;Undergraduate;Secondary Education;Non-Qatari;Male;17
Fall 2018;Engineering;Foundation;Engineering Foundation;Non-Qatari;Female;54
Fall 2018;Engineering;Foundation;Engineering Foundation;Qatari;Male;38
Fall 2018;Engineering;Undergraduate;Computer Engineering;Qatari;Male;30
Fall 2018;Engineering;Master;Civil Engineering;Non-Qatari;Male;27
Fall 2018;Engineering;Master;Electrical Engineering;Non-Qatari;Male;14
Fall 2018;Engineering;Master;Engineering Management;Qatari;Male;23
Fall 2018;Engineering;Master;Mechanical Engineering;Non-Qatari;Female;1
Fall 2018;Engineering;Doctorate - PhD;Chemical Engineering;Non-Qatari;Female;3
Fall 2018;Engineering;Doctorate - PhD;Urban Planning and Design;Non-Qatari;Female;2
Fall 2018;Health Sciences;Foundation;Health Sciences Foundation;Non-Qatari;Female;12
Fall 2018;Health Sciences;Foundation;Health Sciences Foundation;Qatari;Female;59
Fall 2018;Health Sciences;Undergraduate;General Health Sciences;Non-Qatari;Female;58
Fall 2018;Health Sciences;Undergraduate;Human Nutrition;Qatari;Female;17
Fall 2018;Health Sciences;Master;Biomedical Sciences;Qatari;Female;11
Fall 2018;Law;Undergraduate;Law;Non-Qatari;Male;56
Fall 2018;Law;Master;Private Law;Qatari;Male;10
Fall 2018;Law;Master;Public Law;Qatari;Female;23
Fall 2018;Medicine;Foundation;Medicine Foundation;Non-Qatari;Female;1
Fall 2018;No College Designated;Undergraduate;Undeclared;Qatari;Female;80
Fall 2018;Pharmacy;Master;Pharmacy;Non-Qatari;Female;19
Fall 2018;Sharia and Islamic Studies;Master;Quranic Sciences and Exegesis;Qatari;Female;12
Fall 2018;Sharia and Islamic Studies;Master;Religions & Dialog of Civiliz.;Non-Qatari;Female;3
Spring 2019;Arts and Sciences;Undergraduate;Arabic Language;Qatari;Female;69
Spring 2019;Arts and Sciences;Undergraduate;English Literature&Linguistics;Non-Qatari;Female;96
Spring 2019;Arts and Sciences;Undergraduate;Environmental Sciences;Non-Qatari;Female;61
Spring 2019;Arts and Sciences;Undergraduate;Environmental Sciences;Non-Qatari;Male;20
Spring 2019;Arts and Sciences;Undergraduate;History;Non-Qatari;Female;19
Spring 2019;Arts and Sciences;Undergraduate;International Affairs;Qatari;Female;431
Spring 2019;Arts and Sciences;Undergraduate;Social Work;Qatari;Female;285
Spring 2019;Arts and Sciences;Undergraduate;Sport Science;Non-Qatari;Male;35
Spring 2019;Business and Economics;Undergraduate;General Business;Non-Qatari;Female;256
Spring 2019;Business and Economics;Undergraduate;General Business;Non-Qatari;Male;185
Spring 2019;Business and Economics;Master;Accounting;Non-Qatari;Male;6
Spring 2019;Education;Undergraduate;Physical Education;Qatari;Male;5
Spring 2019;Education;Master;Curriculum,Instruc. & Assessm.;Qatari;Male;1
Spring 2019;Education;Master;Special Education;Non-Qatari;Male;2
Spring 2019;Engineering;Undergraduate;Civil Engineering;Qatari;Male;41
Spring 2019;Engineering;Undergraduate;Computer Science;Non-Qatari;Male;50
Spring 2019;Engineering;Master;Civil Engineering;Non-Qatari;Female;1
Spring 2019;Engineering;Master;Civil Engineering;Non-Qatari;Male;23
Spring 2019;Engineering;Master;Computing;Non-Qatari;Female;21
Spring 2019;Engineering;Master;Environmental Engineering;Qatari;Female;1
Spring 2019;Engineering;Doctorate - PhD;Engineering Management;Non-Qatari;Female;3
Spring 2019;Engineering;Doctorate - PhD;Environmental Engineering;Non-Qatari;Male;3
Spring 2019;Engineering;Doctorate - PhD;Urban Planning and Design;Non-Qatari;Female;2
Spring 2019;Medicine;Undergraduate;Medicine;Qatari;Male;12
Spring 2019;Pharmacy;Undergraduate;Pharmacy;Non-Qatari;Female;99
Spring 2019;Pharmacy;Master;Pharmacy;Non-Qatari;Male;4
Spring 2019;Sharia and Islamic Studies;Undergraduate;Fiqh and Usul Al Fiqh;Qatari;Male;1
Spring 2019;Sharia and Islamic Studies;Undergraduate;General Sharia;Non-Qatari;Male;53
Spring 2019;Sharia and Islamic Studies;Undergraduate;General Sharia;Qatari;Male;18
Spring 2019;Sharia and Islamic Studies;Master;Fiqh and Usul Al Fiqh;Non-Qatari;Female;5
Spring 2019;Sharia and Islamic Studies;Master;Fiqh and Usul Al Fiqh;Qatari;Female;10
Spring 2019;Sharia and Islamic Studies;Master;Quranic Sciences and Exegesis;Qatari;Female;12
Fall 2019;Arts and Sciences;Undergraduate;Arabic Language;Non-Qatari;Female;36
Fall 2019;Arts and Sciences;Undergraduate;Chemistry;Non-Qatari;Male;19
Fall 2019;Arts and Sciences;Undergraduate;General Arts;Non-Qatari;Female;369
Fall 2019;Arts and Sciences;Undergraduate;General Science;Non-Qatari;Male;69
Fall 2019;Arts and Sciences;Undergraduate;General Science;Qatari;Female;59
Fall 2019;Arts and Sciences;Undergraduate;History;Qatari;Male;11
Fall 2019;Arts and Sciences;Undergraduate;International Affairs;Qatari;Male;101
Fall 2019;Arts and Sciences;Undergraduate;Statistics;Non-Qatari;Male;9
Fall 2019;Arts and Sciences;Master;Arabic Language & Literature;Non-Qatari;Female;12
Fall 2019;Arts and Sciences;Master;Arabic Language & Literature;Non-Qatari;Male;5
Fall 2019;Arts and Sciences;Master;Environmental Sciences;Qatari;Male;1
Fall 2019;Arts and Sciences;Doctorate - PhD;Biological & Environmental Sci;Qatari;Female;3
Fall 2019;Arts and Sciences;Doctorate - PhD;Gulf Studies;Non-Qatari;Female;7
Fall 2019;Arts and Sciences;Certificate;Environmental Sciences;Qatari;Female;2
Fall 2019;Business and Economics;Undergraduate;General Business;Qatari;Female;1470
Fall 2019;Business and Economics;Undergraduate;General Business;Qatari;Male;472
Fall 2019;Business and Economics;Master;Accounting;Non-Qatari;Male;6
Fall 2019;Business and Economics;Master;Marketing;Qatari;Female;9
Fall 2019;Business and Economics;Doctorate - PhD;Business Administration;Non-Qatari;Male;6
Fall 2019;Education;Undergraduate;Physical Education;Non-Qatari;Male;26
Fall 2019;Education;Undergraduate;Special Education;Qatari;Female;105
Fall 2019;Education;Master;Master of Special Education;Qatari;Female;5
Fall 2019;Education;Master;Special Education;Non-Qatari;Male;1
Fall 2019;Engineering;Master;Mechanical Engineering;Non-Qatari;Female;1
Fall 2019;Engineering;Doctorate - PhD;Chemical Engineering;Non-Qatari;Male;1
Fall 2019;Engineering;Doctorate - PhD;Environmental Engineering;Non-Qatari;Female;2
Fall 2019;Engineering;Doctorate - PhD;Mechanical Engineering;Non-Qatari;Male;3
Fall 2019;Health Sciences;Undergraduate;Biomedical Sciences;Non-Qatari;Female;80
Fall 2019;Health Sciences;Undergraduate;Biomedical Sciences;Qatari;Female;22
Fall 2019;Health Sciences;Undergraduate;Human Nutrition;Non-Qatari;Female;83
Fall 2019;Health Sciences;Master;Public Health;Non-Qatari;Male;6
Fall 2019;Health Sciences;Doctorate - PhD;Biomedical Sciences;Non-Qatari;Female;2
Fall 2019;Medicine;Undergraduate;Medicine;Non-Qatari;Female;66
Fall 2019;No College Designated;Undergraduate;Undeclared;Qatari;Male;26
Fall 2019;Sharia and Islamic Studies;Undergraduate;Fiqh and Usul Al Fiqh;Non-Qatari;Female;3
Fall 2019;Sharia and Islamic Studies;Undergraduate;Islamic Studies;Qatari;Male;7
Fall 2019;Sharia and Islamic Studies;Master;Religions & Dialog of Civiliz.;Non-Qatari;Female;12
Fall 2019;Sharia and Islamic Studies;Master;Religions & Dialog of Civiliz.;Qatari;Female;16
Spring 2020;Arts and Sciences;Foundation;Science Foundation;Non-Qatari;Female;76
Spring 2020;Arts and Sciences;Undergraduate;Arabic Language;Qatari;Female;55
Spring 2020;Arts and Sciences;Undergraduate;Biology;Non-Qatari;Female;107
Spring 2020;Arts and Sciences;Undergraduate;English Language;Qatari;Female;2
Spring 2020;Arts and Sciences;Undergraduate;General Arts;Qatari;Male;131
Spring 2020;Arts and Sciences;Undergraduate;International Affairs;Qatari;Male;149
Spring 2020;Arts and Sciences;Undergraduate;Sociology;Non-Qatari;Female;43
Spring 2020;Arts and Sciences;Undergraduate;Statistics;Qatari;Male;3
Spring 2020;Arts and Sciences;Master;Material Sci and Technology;Non-Qatari;Male;12
Spring 2020;Arts and Sciences;Certificate;Applied Statistics;Non-Qatari;Female;1
Spring 2020;Arts and Sciences;Certificate;Corrosion Science;Non-Qatari;Female;2
Spring 2020;Business and Economics;Undergraduate;Accounting;Qatari;Female;457
Spring 2020;Business and Economics;Undergraduate;General Business;Non-Qatari;Female;307
Spring 2020;Business and Economics;Undergraduate;General Business;Qatari;Female;1308
Spring 2020;Business and Economics;Undergraduate;Marketing;Non-Qatari;Female;22
Spring 2020;Business and Economics;Master;Business Administration;Non-Qatari;Female;12
Spring 2020;Business and Economics;Master;Marketing;Qatari;Male;1
Spring 2020;Education;Undergraduate;Physical Education;Qatari;Female;69
Spring 2020;Education;Undergraduate;Secondary Education;Qatari;Female;374
Spring 2020;Education;Undergraduate;Special Education;Non-Qatari;Female;12
Spring 2020;Education;Undergraduate;Special Education;Qatari;Female;102
Spring 2020;Education;Master;Curriculum,Instruc. & Assessm.;Qatari;Female;8
Spring 2020;Engineering;Undergraduate;Electrical Engineering;Qatari;Female;60
Spring 2020;Engineering;Master;Computing;Non-Qatari;Male;19
Spring 2020;Engineering;Master;Electrical Engineering;Qatari;Female;1
Spring 2020;Engineering;Doctorate - PhD;Architecture;Non-Qatari;Female;2
Spring 2020;Engineering;Doctorate - PhD;Engineering Management;Non-Qatari;Female;4
Spring 2020;Engineering;Doctorate - PhD;Mechanical Engineering;Non-Qatari;Female;1
Spring 2020;Health Sciences;Undergraduate;Physical Therapy;Qatari;Female;4
Spring 2020;Health Sciences;Master;Public Health;Non-Qatari;Female;16
Spring 2020;Law;Undergraduate;Law;Qatari;Male;336
Spring 2020;Pharmacy;Master;Pharmacy;Non-Qatari;Female;20
Spring 2020;Sharia and Islamic Studies;Undergraduate;Creed and Dawa;Non-Qatari;Female;10
Spring 2020;Sharia and Islamic Studies;Undergraduate;General Sharia;Non-Qatari;Female;260
Spring 2020;Sharia and Islamic Studies;Undergraduate;Islamic Studies;Qatari;Female;88
Spring 2020;Sharia and Islamic Studies;Master;Fiqh and Usul Al Fiqh;Non-Qatari;Male;13
Spring 2020;Sharia and Islamic Studies;Master;Fiqh and Usul Al Fiqh;Qatari;Female;7
Spring 2020;Sharia and Islamic Studies;Doctorate - PhD;Fiqh and Usul Al Fiqh;Non-Qatari;Female;1
Fall 2020;Arts and Sciences;Undergraduate;Arabic Language;Qatari;Female;68
Fall 2020;Arts and Sciences;Undergraduate;Biology;Qatari;Female;33
Fall 2020;Arts and Sciences;Undergraduate;Environmental Sciences;Qatari;Female;25
Fall 2020;Arts and Sciences;Undergraduate;General Science;Non-Qatari;Female;88
Fall 2020;Arts and Sciences;Undergraduate;Mass Communication;Qatari;Male;99
Fall 2020;Arts and Sciences;Undergraduate;Policy, Planning, and Dev;Non-Qatari;Female;56
Fall 2020;Arts and Sciences;Undergraduate;Policy, Planning, and Dev;Non-Qatari;Male;15
Fall 2020;Arts and Sciences;Undergraduate;Policy, Planning, and Dev;Qatari;Male;64
Fall 2020;Arts and Sciences;Undergraduate;Psychology;Qatari;Female;252
Fall 2020;Arts and Sciences;Undergraduate;Statistics;Qatari;Male;3
Fall 2020;Arts and Sciences;Master;Applied Statistics;Qatari;Female;4
Fall 2020;Arts and Sciences;Master;Defense studies;Non-Qatari;Male;2
Fall 2020;Arts and Sciences;Doctorate - PhD;Biological & Environmental Sci;Qatari;Female;5
Fall 2020;Arts and Sciences;Doctorate - PhD;Biological & Environmental Sci;Qatari;Male;1
Fall 2020;Arts and Sciences;Doctorate - PhD;Gulf Studies;Non-Qatari;Female;10
Fall 2020;Arts and Sciences;Certificate;Corrosion Science;Qatari;Female;1
Fall 2020;Arts and Sciences;Certificate;Environmental Sciences;Non-Qatari;Female;1
Fall 2020;Business and Economics;Undergraduate;Economics;Non-Qatari;Female;5
Fall 2020;Business and Economics;Undergraduate;Finance;Qatari;Female;135
Fall 2020;Business and Economics;Undergraduate;Management;Non-Qatari;Female;51
Fall 2020;Business and Economics;Undergraduate;Management Information Systems;Qatari;Female;64
Fall 2020;Business and Economics;Master;Business Administration;Qatari;Female;13
Fall 2020;Business and Economics;Master;Finance;Non-Qatari;Male;4
Fall 2020;Business and Economics;Master;Finance;Qatari;Female;2
Fall 2020;Education;Foundation;Education Foundation;Non-Qatari;Male;2
Fall 2020;Education;Undergraduate;Education (Math & Sci);Non-Qatari;Female;10
Fall 2020;Education;Undergraduate;Education (Math & Sci);Qatari;Female;2
Fall 2020;Education;Diploma;Primary Education;Qatari;Female;10
Fall 2020;Education;Diploma;Secondary Education;Non-Qatari;Female;12
Fall 2020;Education;Diploma;Special Education;Non-Qatari;Male;24
Fall 2020;Education;Master;Curriculum,Instruc. & Assessm.;Qatari;Male;1
Fall 2020;Education;Master;Education Leadership;Qatari;Female;13
Fall 2020;Education;Master;Master of Special Education;Non-Qatari;Female;16
Fall 2020;Education;Master;Master of Special Education;Qatari;Female;6
Fall 2020;Education;Master;Special Education;Non-Qatari;Female;1
Fall 2020;Engineering;Foundation;Engineering Foundation;Non-Qatari;Male;77
Fall 2020;Engineering;Foundation;Engineering Foundation;Qatari;Male;182
Fall 2020;Engineering;Undergraduate;Chemical Engineering;Qatari;Male;16
Fall 2020;Engineering;Undergraduate;Civil Engineering;Non-Qatari;Male;169
Fall 2020;Engineering;Undergraduate;Computer Engineering;Non-Qatari;Male;122
Fall 2020;Engineering;Undergraduate;Computer Science;Non-Qatari;Female;88
Fall 2020;Engineering;Undergraduate;Mechanical Engineering;Qatari;Male;48
Fall 2020;Engineering;Master;Computing;Non-Qatari;Female;17
Fall 2020;Engineering;Master;Computing;Qatari;Female;7
Fall 2020;Engineering;Master;Environmental Engineering;Non-Qatari;Male;9
Fall 2020;Engineering;Master;Urban Planning and Design;Qatari;Female;2
Fall 2020;Engineering;Doctorate - PhD;Material Sci and Engin;Non-Qatari;Male;2
Fall 2020;Health Sciences;Undergraduate;Biomedical Sciences;Non-Qatari;Female;59
Fall 2020;Health Sciences;Master;Biomedical Sciences;Non-Qatari;Female;14
Fall 2020;Health Sciences;Master;Genetic in Counselling;Non-Qatari;Female;5
