Academic Year;Semester;College;Level;Major;Nationality;Gender;Number of Graduates
2015-16;Summer 2015;Business and Economics;Master;Business Administration;Non-Qatari;Female;2
2015-16;Summer 2015;Arts and Sciences;Undergraduate;International Affairs;Qatari;Female;4
2015-16;Summer 2015;Sharia and Islamic Studies;Undergraduate;Islamic Studies;Non-Qatari;Female;1
2015-16;Summer 2015;Sharia and Islamic Studies;Undergraduate;Islamic Studies;Qatari;Female;1
2015-16;Summer 2015;Law;Undergraduate;Law;Qatari;Male;1
2015-16;Summer 2015;Arts and Sciences;Undergraduate;Mass Communication;Qatari;Female;3
2015-16;Summer 2015;Arts and Sciences;Undergraduate;Sociology;Non-Qatari;Female;2
2015-16;Summer 2015;Arts and Sciences;Undergraduate;Statistics;Qatari;Female;1
2015-16;Fall 2015;Business and Economics;Undergraduate;Accounting;Qatari;Female;23
2015-16;Fall 2015;Arts and Sciences;Undergraduate;Biomedical Sciences;Non-Qatari;Female;8
2015-16;Fall 2015;Engineering;Master;Computing;Qatari;Male;1
2015-16;Fall 2015;Business and Economics;Undergraduate;Finance;Qatari;Female;20
2015-16;Fall 2015;Arts and Sciences;Master;Gulf Studies;Non-Qatari;Female;2
2015-16;Fall 2015;Arts and Sciences;Master;Gulf Studies;Non-Qatari;Male;2
2015-16;Fall 2015;Arts and Sciences;Master;Gulf Studies;Qatari;Female;1
2015-16;Fall 2015;Sharia and Islamic Studies;Undergraduate;Islamic Studies;Non-Qatari;Male;3
2015-16;Fall 2015;Arts and Sciences;Undergraduate;Mass Communication;Qatari;Male;2
2015-16;Fall 2015;Engineering;Undergraduate;Mechanical Engineering;Non-Qatari;Male;6
2015-16;Fall 2015;Engineering;Undergraduate;Mechanical Engineering;Qatari;Male;1
2015-16;Fall 2015;Education;Diploma;Primary Education;Non-Qatari;Female;7
2015-16;Fall 2015;Education;Diploma;Primary Education;Qatari;Female;1
2015-16;Fall 2015;Sharia and Islamic Studies;Master;Quranic Sciences and Exegesis;Qatari;Male;1
2015-16;Spring 2016;Business and Economics;Undergraduate;Accounting;Qatari;Female;69
2015-16;Spring 2016;Arts and Sciences;Undergraduate;Biological Sciences;Non-Qatari;Female;10
2015-16;Spring 2016;Engineering;Undergraduate;Chemical Engineering;Non-Qatari;Male;16
2015-16;Spring 2016;Engineering;Master;Civil Engineering;Non-Qatari;Male;1
2015-16;Spring 2016;Engineering;Undergraduate;Computer Engineering;Non-Qatari;Female;7
2015-16;Spring 2016;Engineering;Undergraduate;Computer Science;Non-Qatari;Female;3
2015-16;Spring 2016;Engineering;Undergraduate;Computer Science;Non-Qatari;Male;1
2015-16;Spring 2016;Sharia and Islamic Studies;Undergraduate;Dawa;Non-Qatari;Female;8
2015-16;Spring 2016;Engineering;Undergraduate;Electrical Engineering;Non-Qatari;Female;18
2015-16;Spring 2016;Business and Economics;Undergraduate;Finance;Non-Qatari;Male;7
2015-16;Spring 2016;Arts and Sciences;Master;Gulf Studies;Non-Qatari;Male;1
2015-16;Spring 2016;Arts and Sciences;Undergraduate;Human Nutrition;Qatari;Female;1
2015-16;Spring 2016;Sharia and Islamic Studies;Undergraduate;Islamic Studies;Qatari;Male;4
2015-16;Spring 2016;Arts and Sciences;Master;Material Sci and Technology;Non-Qatari;Female;3
2015-16;Spring 2016;Engineering;Undergraduate;Mechanical Engineering;Qatari;Male;4
2015-16;Spring 2016;Pharmacy;Undergraduate;Pharmacy;Non-Qatari;Female;23
2015-16;Spring 2016;Pharmacy;Undergraduate;Pharmacy;Qatari;Female;2
2015-16;Spring 2016;Education;Undergraduate;Secondary Education;Non-Qatari;Female;20
2015-16;Spring 2016;Arts and Sciences;Undergraduate;Sport Science;Non-Qatari;Female;2
2015-16;Spring 2016;Arts and Sciences;Undergraduate;Sport Science;Qatari;Female;5
2015-16;Spring 2016;Engineering;Master;Urban Planning;Qatari;Female;1
2016-17;Summer 2016;Business and Economics;Undergraduate;Accounting;Qatari;Female;19
2016-17;Summer 2016;Engineering;Undergraduate;Chemical Engineering;Non-Qatari;Female;3
2016-17;Summer 2016;Engineering;Undergraduate;Chemical Engineering;Non-Qatari;Male;1
2016-17;Summer 2016;Engineering;Undergraduate;Chemical Engineering;Qatari;Male;1
2016-17;Summer 2016;Engineering;Undergraduate;Civil Engineering;Qatari;Male;3
2016-17;Summer 2016;Engineering;Undergraduate;Computer Science;Non-Qatari;Female;1
2016-17;Summer 2016;Engineering;Undergraduate;Computer Science;Non-Qatari;Male;1
2016-17;Summer 2016;Business and Economics;Undergraduate;Finance;Non-Qatari;Female;5
2016-17;Summer 2016;Sharia and Islamic Studies;Master;Fiqh and Usul;Qatari;Male;1
2016-17;Summer 2016;Arts and Sciences;Undergraduate;International Affairs;Non-Qatari;Female;3
2016-17;Summer 2016;Sharia and Islamic Studies;Undergraduate;Islamic Studies;Qatari;Female;9
2016-17;Summer 2016;Business and Economics;Undergraduate;Management;Qatari;Male;5
2016-17;Summer 2016;Business and Economics;Undergraduate;Marketing;Non-Qatari;Male;3
2016-17;Summer 2016;Engineering;Undergraduate;Mechanical Engineering;Non-Qatari;Male;5
2016-17;Fall 2016;Engineering;Undergraduate;Architecture;Qatari;Female;2
2016-17;Fall 2016;Engineering;Master;Environmental Engineering;Non-Qatari;Female;2
2016-17;Fall 2016;Arts and Sciences;Undergraduate;History;Non-Qatari;Female;3
2016-17;Fall 2016;Health Sciences;Undergraduate;Human Nutrition;Qatari;Female;2
2016-17;Fall 2016;Arts and Sciences;Undergraduate;International Affairs;Qatari;Female;21
2016-17;Fall 2016;Business and Economics;Undergraduate;Management;Qatari;Female;47
2016-17;Fall 2016;Business and Economics;Undergraduate;Marketing;Non-Qatari;Female;8
2016-17;Fall 2016;Pharmacy;Master;Pharmacy;Non-Qatari;Female;3
2016-17;Fall 2016;Education;Diploma;Primary Education;Qatari;Female;4
2016-17;Fall 2016;Sharia and Islamic Studies;Master;Quranic Sciences and Exegesis;Non-Qatari;Male;1
2016-17;Fall 2016;Education;Diploma;Special Education;Non-Qatari;Female;6
2016-17;Fall 2016;Arts and Sciences;Undergraduate;Sport Science;Non-Qatari;Female;5
2016-17;Fall 2016;Arts and Sciences;Undergraduate;Statistics;Qatari;Female;3
2016-17;Winter 2017;Business and Economics;Undergraduate;Marketing;Non-Qatari;Male;1
2016-17;Winter 2017;Arts and Sciences;Undergraduate;Policy, Planning, and Dev;Qatari;Female;1
2016-17;Spring 2017;Business and Economics;Master;Accounting;Non-Qatari;Female;2
2016-17;Spring 2017;Business and Economics;Master;Accounting;Non-Qatari;Male;1
2016-17;Spring 2017;Arts and Sciences;Undergraduate;Arabic Language;Non-Qatari;Female;9
2016-17;Spring 2017;Arts and Sciences;Undergraduate;Chemistry;Non-Qatari;Female;11
2016-17;Spring 2017;Business and Economics;Undergraduate;Economics;Non-Qatari;Female;2
2016-17;Spring 2017;Engineering;Undergraduate;Electrical Engineering;Non-Qatari;Male;15
2016-17;Spring 2017;Sharia and Islamic Studies;Master;Fiqh and Usul;Qatari;Male;1
2016-17;Spring 2017;Arts and Sciences;Undergraduate;History;Qatari;Male;1
2016-17;Spring 2017;Arts and Sciences;Undergraduate;International Affairs;Non-Qatari;Female;7
2016-17;Spring 2017;Business and Economics;Undergraduate;Marketing;Non-Qatari;Female;14
2016-17;Spring 2017;Arts and Sciences;Undergraduate;Mass Communication;Qatari;Female;13
2016-17;Spring 2017;Arts and Sciences;Undergraduate;Mass Communication;Qatari;Male;12
2016-17;Spring 2017;Pharmacy;Master;Pharmacy;Non-Qatari;Female;4
2016-17;Spring 2017;Pharmacy;Doctor in PharmD;Pharmacy;Qatari;Female;3
2016-17;Spring 2017;Arts and Sciences;Undergraduate;Policy, Planning, and Dev;Non-Qatari;Female;8
2016-17;Spring 2017;Arts and Sciences;Undergraduate;Policy, Planning, and Dev;Qatari;Female;22
2016-17;Spring 2017;Education;Undergraduate;Secondary Education;Qatari;Female;30
2016-17;Spring 2017;Arts and Sciences;Undergraduate;Sport Science;Non-Qatari;Female;9
2016-17;Spring 2017;Arts and Sciences;Undergraduate;Sport Science;Non-Qatari;Male;4
2017-18;Summer 2017;Business and Economics;Undergraduate;Accounting;Qatari;Male;13
2017-18;Summer 2017;Arts and Sciences;Undergraduate;Chemistry;Non-Qatari;Male;3
2017-18;Summer 2017;Engineering;Undergraduate;Civil Engineering;Non-Qatari;Male;12
2017-18;Summer 2017;Engineering;Undergraduate;Computer Engineering;Qatari;Female;3
2017-18;Summer 2017;Business and Economics;Undergraduate;Economics;Non-Qatari;Female;2
2017-18;Summer 2017;Engineering;Undergraduate;Electrical Engineering;Non-Qatari;Male;3
2017-18;Summer 2017;Engineering;Undergraduate;Electrical Engineering;Qatari;Male;1
2017-18;Summer 2017;Engineering;Undergraduate;Industrial and Systems Eng.;Non-Qatari;Female;1
2017-18;Summer 2017;Engineering;Undergraduate;Industrial and Systems Eng.;Qatari;Female;3
2017-18;Summer 2017;Sharia and Islamic Studies;Undergraduate;Islamic Studies;Non-Qatari;Male;1
2017-18;Summer 2017;Business and Economics;Undergraduate;Management Information Systems;Non-Qatari;Male;1
2017-18;Summer 2017;Business and Economics;Undergraduate;Marketing;Qatari;Female;12
2017-18;Summer 2017;Arts and Sciences;Undergraduate;Policy, Planning, and Dev;Non-Qatari;Male;4
2017-18;Summer 2017;Arts and Sciences;Undergraduate;Policy, Planning, and Dev;Qatari;Male;2
2017-18;Fall 2017;Business and Economics;Undergraduate;Accounting;Qatari;Male;12
2017-18;Fall 2017;Arts and Sciences;Undergraduate;Arabic Language;Non-Qatari;Female;1
2017-18;Fall 2017;Arts and Sciences;Master;Arabic Language & Literature;Non-Qatari;Female;3
2017-18;Fall 2017;Business and Economics;Master;Business Administration;Qatari;Female;4
2017-18;Fall 2017;Engineering;Undergraduate;Chemical Engineering;Qatari;Female;2
2017-18;Fall 2017;Engineering;Undergraduate;Computer Engineering;Non-Qatari;Female;4
2017-18;Fall 2017;Engineering;Undergraduate;Computer Engineering;Qatari;Female;5
2017-18;Fall 2017;Engineering;Doctorate - PhD;Electrical Engineering;Non-Qatari;Male;1
2017-18;Fall 2017;Engineering;Master;Engineering Management;Non-Qatari;Male;5
2017-18;Fall 2017;Sharia and Islamic Studies;Master;Fiqh and Usul;Qatari;Female;2
2017-18;Fall 2017;Arts and Sciences;Undergraduate;History;Non-Qatari;Female;6
2017-18;Fall 2017;Engineering;Undergraduate;Industrial and Systems Eng.;Qatari;Female;18
2017-18;Fall 2017;Law;Undergraduate;Law;Non-Qatari;Male;2
2017-18;Fall 2017;Law;Undergraduate;Law;Qatari;Male;16
2017-18;Fall 2017;Arts and Sciences;Undergraduate;Psychology;Non-Qatari;Female;11
2017-18;Fall 2017;Education;Diploma;Secondary Education;Non-Qatari;Male;3
2017-18;Fall 2017;Arts and Sciences;Undergraduate;Sport Science;Non-Qatari;Female;4
2017-18;Fall 2017;Arts and Sciences;Undergraduate;Statistics;Non-Qatari;Female;8
2017-18;Fall 2017;Arts and Sciences;Undergraduate;Statistics;Non-Qatari;Male;2
2017-18;Winter 2018;Business and Economics;Undergraduate;Accounting;Non-Qatari;Female;5
2017-18;Winter 2018;Business and Economics;Undergraduate;Finance;Non-Qatari;Female;2
2017-18;Winter 2018;Business and Economics;Undergraduate;Marketing;Non-Qatari;Female;4
2017-18;Winter 2018;Business and Economics;Undergraduate;Marketing;Qatari;Female;8
2017-18;Spring 2018;Business and Economics;Undergraduate;Accounting;Non-Qatari;Female;21
2017-18;Spring 2018;Engineering;Undergraduate;Computer Science;Non-Qatari;Female;9
2017-18;Spring 2018;Education;Master;Curriculum,Instruc. & Assessm.;Non-Qatari;Female;5
2017-18;Spring 2018;Sharia and Islamic Studies;Undergraduate;Dawa;Qatari;Female;25
2017-18;Spring 2018;Engineering;Doctorate - PhD;Engineering Management;Qatari;Male;2
2017-18;Spring 2018;Sharia and Islamic Studies;Master;Fiqh and Usul;Qatari;Male;1
2017-18;Spring 2018;Arts and Sciences;Undergraduate;International Affairs;Qatari;Female;29
2017-18;Spring 2018;Law;Undergraduate;Law;Qatari;Male;15
2017-18;Spring 2018;Business and Economics;Undergraduate;Management Information Systems;Non-Qatari;Female;1
2017-18;Spring 2018;Business and Economics;Master;Marketing;Qatari;Female;2
2017-18;Spring 2018;Business and Economics;Undergraduate;Marketing;Qatari;Female;46
2017-18;Spring 2018;Arts and Sciences;Undergraduate;Mass Communication;Non-Qatari;Male;11
2017-18;Spring 2018;Pharmacy;Master;Pharmacy;Non-Qatari;Male;1
2017-18;Spring 2018;Education;Undergraduate;Primary Education;Qatari;Female;62
2017-18;Spring 2018;Law;Master;Private Law;Qatari;Female;2
2017-18;Spring 2018;Law;Master;Public Law;Non-Qatari;Male;1
2017-18;Spring 2018;Arts and Sciences;Undergraduate;Sport Science;Qatari;Female;5
2017-18;Spring 2018;Arts and Sciences;Undergraduate;Statistics;Qatari;Female;6
2018-19;Summer 2018;Engineering;Undergraduate;Civil Engineering;Non-Qatari;Male;21
2018-19;Summer 2018;Engineering;Undergraduate;Computer Science;Non-Qatari;Female;2
2018-19;Summer 2018;Sharia and Islamic Studies;Undergraduate;Dawa;Non-Qatari;Male;2
2018-19;Summer 2018;Engineering;Undergraduate;Electrical Engineering;Non-Qatari;Male;2
2018-19;Summer 2018;Arts and Sciences;Undergraduate;Environmental Sciences;Non-Qatari;Female;1
2018-19;Summer 2018;Arts and Sciences;Undergraduate;Environmental Sciences;Non-Qatari;Male;1
2018-19;Summer 2018;Business and Economics;Undergraduate;Finance;Non-Qatari;Female;2
2018-19;Summer 2018;Sharia and Islamic Studies;Undergraduate;Islamic Studies;Qatari;Female;3
2018-19;Summer 2018;Arts and Sciences;Undergraduate;Mass Communication;Non-Qatari;Female;5
2018-19;Summer 2018;Engineering;Undergraduate;Mechanical Engineering;Qatari;Male;3
2018-19;Summer 2018;Health Sciences;Undergraduate;Public Health;Qatari;Female;1
2018-19;Summer 2018;Arts and Sciences;Undergraduate;Sport Science;Qatari;Female;1
2018-19;Fall 2018;Business and Economics;Undergraduate;Accounting;Non-Qatari;Female;8
2018-19;Fall 2018;Arts and Sciences;Undergraduate;Arabic Language;Qatari;Female;10
2018-19;Fall 2018;Business and Economics;Master;Business Administration;Qatari;Male;1
2018-19;Fall 2018;Engineering;Undergraduate;Chemical Engineering;Qatari;Female;3
2018-19;Fall 2018;Business and Economics;Undergraduate;Economics;Qatari;Female;3
2018-19;Fall 2018;Engineering;Undergraduate;Electrical Engineering;Non-Qatari;Female;4
2018-19;Fall 2018;Engineering;Doctorate - PhD;Electrical Engineering;Non-Qatari;Male;1
2018-19;Fall 2018;Arts and Sciences;Undergraduate;English Literature&Linguistics;Non-Qatari;Female;8
2018-19;Fall 2018;Arts and Sciences;Undergraduate;History;Non-Qatari;Female;3
2018-19;Fall 2018;Business and Economics;Undergraduate;Marketing;Non-Qatari;Female;7
2018-19;Fall 2018;Business and Economics;Undergraduate;Marketing;Qatari;Male;3
2018-19;Fall 2018;Arts and Sciences;Undergraduate;Policy, Planning, and Dev;Qatari;Female;21
2018-19;Fall 2018;Education;Undergraduate;Primary Education;Non-Qatari;Female;20
2018-19;Fall 2018;Arts and Sciences;Undergraduate;Psychology;Non-Qatari;Female;6
2018-19;Fall 2018;Arts and Sciences;Undergraduate;Psychology;Qatari;Female;19
2018-19;Fall 2018;Health Sciences;Undergraduate;Public Health;Non-Qatari;Female;3
2018-19;Fall 2018;Health Sciences;Undergraduate;Public Health;Qatari;Female;4
2018-19;Fall 2018;Education;Undergraduate;Secondary Education;Non-Qatari;Male;2
2018-19;Fall 2018;Education;Undergraduate;Secondary Education;Qatari;Female;17
2018-19;Fall 2018;Arts and Sciences;Undergraduate;Sociology;Qatari;Female;36
2018-19;Fall 2018;Arts and Sciences;Undergraduate;Sport Science;Non-Qatari;Male;3
2018-19;Winter 2019;Business and Economics;Undergraduate;Accounting;Qatari;Female;17
2018-19;Winter 2019;Business and Economics;Undergraduate;Finance;Non-Qatari;Male;3
2018-19;Spring 2019;Engineering;Undergraduate;Computer Science;Qatari;Male;1
2018-19;Spring 2019;Education;Master;Curriculum,Instruc. & Assessm.;Non-Qatari;Female;3
2018-19;Spring 2019;Sharia and Islamic Studies;Undergraduate;Dawa;Non-Qatari;Female;6
2018-19;Spring 2019;Business and Economics;Undergraduate;Economics;Qatari;Male;2
2018-19;Spring 2019;Engineering;Undergraduate;Electrical Engineering;Non-Qatari;Female;7
2018-19;Spring 2019;Arts and Sciences;Undergraduate;English Literature&Linguistics;Qatari;Female;16
2018-19;Spring 2019;Business and Economics;Undergraduate;Finance;Qatari;Female;32
2018-19;Spring 2019;Arts and Sciences;Undergraduate;International Affairs;Non-Qatari;Female;4
2018-19;Spring 2019;Business and Economics;Undergraduate;Management;Qatari;Male;17
2018-19;Spring 2019;Business and Economics;Master;Marketing;Qatari;Female;5
2018-19;Spring 2019;Education;Master;Master of Special Education;Non-Qatari;Female;4
2018-19;Spring 2019;Pharmacy;Master;Pharmacy;Non-Qatari;Female;5
2018-19;Spring 2019;Arts and Sciences;Undergraduate;Policy, Planning, and Dev;Qatari;Male;5
2018-19;Spring 2019;Law;Master;Private Law;Non-Qatari;Male;1
2018-19;Spring 2019;Health Sciences;Undergraduate;Public Health;Qatari;Female;6
2018-19;Spring 2019;Engineering;Master;Urban Planning;Qatari;Female;1
2019-20;Summer 2019;Engineering;Undergraduate;Civil Engineering;Non-Qatari;Male;12
2019-20;Summer 2019;Business and Economics;Undergraduate;Economics;Qatari;Male;1
2019-20;Summer 2019;Arts and Sciences;Undergraduate;Environmental Sciences;Non-Qatari;Female;1
2019-20;Summer 2019;Business and Economics;Undergraduate;Finance;Qatari;Female;6
2019-20;Summer 2019;Business and Economics;Undergraduate;Management;Non-Qatari;Female;1
2019-20;Summer 2019;Business and Economics;Undergraduate;Management Information Systems;Qatari;Female;2
2019-20;Summer 2019;Arts and Sciences;Undergraduate;Mass Communication;Non-Qatari;Male;3
2019-20;Summer 2019;Education;Undergraduate;Secondary Education;Qatari;Female;1
2019-20;Summer 2019;Arts and Sciences;Undergraduate;Statistics;Non-Qatari;Female;1
2019-20;Fall 2019;Education;Master;Curriculum,Instruc. & Assessm.;Non-Qatari;Female;1
2019-20;Fall 2019;Engineering;Undergraduate;Electrical Engineering;Non-Qatari;Female;8
2019-20;Fall 2019;Engineering;Undergraduate;Electrical Engineering;Non-Qatari;Male;10
2019-20;Fall 2019;Business and Economics;Undergraduate;Finance;Non-Qatari;Male;1
2019-20;Fall 2019;Sharia and Islamic Studies;Master;Fiqh and Usul;Non-Qatari;Male;2
2019-20;Fall 2019;Engineering;Undergraduate;Industrial and Systems Eng.;Non-Qatari;Female;4
2019-20;Fall 2019;Business and Economics;Undergraduate;Management;Qatari;Male;9
2019-20;Fall 2019;Arts and Sciences;Undergraduate;Policy, Planning, and Dev;Qatari;Female;39
2019-20;Fall 2019;Education;Undergraduate;Primary Education;Qatari;Female;38
2019-20;Fall 2019;Law;Master;Private Law;Non-Qatari;Male;1
2019-20;Fall 2019;Law;Master;Private Law;Qatari;Female;4
2019-20;Fall 2019;Sharia and Islamic Studies;Master;Quranic Sciences and Exegesis;Non-Qatari;Female;1
2019-20;Fall 2019;Education;Diploma;Special Education;Non-Qatari;Female;2
2019-20;Winter 2020;Business and Economics;Undergraduate;Management;Qatari;Female;12
2019-20;Winter 2020;Business and Economics;Undergraduate;Management Information Systems;Non-Qatari;Female;1
2019-20;Winter 2020;Business and Economics;Undergraduate;Marketing;Qatari;Female;10
2019-20;Spring 2020;Business and Economics;Master;Accounting;Non-Qatari;Female;5
2019-20;Spring 2020;Business and Economics;Undergraduate;Accounting;Non-Qatari;Male;11
2019-20;Spring 2020;Arts and Sciences;Master;Applied Statistics;Non-Qatari;Female;3
2019-20;Spring 2020;Health Sciences;Undergraduate;Biomedical Sciences;Non-Qatari;Female;14
2019-20;Spring 2020;Engineering;Undergraduate;Civil Engineering;Non-Qatari;Male;28
2019-20;Spring 2020;Engineering;Undergraduate;Computer Engineering;Qatari;Female;14
2019-20;Spring 2020;Engineering;Undergraduate;Computer Science;Qatari;Male;3
2019-20;Spring 2020;Education;Master;Curriculum,Instruc. & Assessm.;Qatari;Female;2
2019-20;Spring 2020;Business and Economics;Undergraduate;Economics;Qatari;Male;2
2019-20;Spring 2020;Engineering;Undergraduate;Electrical Engineering;Non-Qatari;Male;19
2019-20;Spring 2020;Engineering;Undergraduate;Electrical Engineering;Qatari;Female;2
2019-20;Spring 2020;Engineering;Master;Engineering Management;Qatari;Male;5
2019-20;Spring 2020;Business and Economics;Undergraduate;Finance;Non-Qatari;Female;12
2019-20;Spring 2020;Sharia and Islamic Studies;Master;Fiqh and Usul;Non-Qatari;Male;1
2019-20;Spring 2020;Arts and Sciences;Undergraduate;International Affairs;Qatari;Male;12
2019-20;Spring 2020;Law;Undergraduate;Law;Qatari;Male;22
2019-20;Spring 2020;Business and Economics;Undergraduate;Management;Non-Qatari;Female;11
2019-20;Spring 2020;Business and Economics;Undergraduate;Marketing;Non-Qatari;Female;3
2019-20;Spring 2020;Arts and Sciences;Undergraduate;Mass Communication;Qatari;Male;18
2019-20;Spring 2020;Arts and Sciences;Undergraduate;Statistics;Non-Qatari;Male;2
2020-21;Summer 2020;Health Sciences;Undergraduate;Biomedical Sciences;Qatari;Female;1
2020-21;Summer 2020;Engineering;Undergraduate;Chemical Engineering;Non-Qatari;Female;3
2020-21;Summer 2020;Arts and Sciences;Undergraduate;Chemistry;Non-Qatari;Male;1
2020-21;Summer 2020;Engineering;Undergraduate;Computer Engineering;Qatari;Female;4
2020-21;Summer 2020;Sharia and Islamic Studies;Undergraduate;Dawa;Qatari;Female;4
2020-21;Summer 2020;Arts and Sciences;Undergraduate;Environmental Sciences;Non-Qatari;Male;1
2020-21;Summer 2020;Arts and Sciences;Undergraduate;International Affairs;Qatari;Female;11
2020-21;Summer 2020;Business and Economics;Undergraduate;Management;Non-Qatari;Male;2
2020-21;Summer 2020;Engineering;Undergraduate;Mechanical Engineering;Qatari;Male;2
2020-21;Summer 2020;Pharmacy;Undergraduate;Pharmacy;Non-Qatari;Female;2
2020-21;Summer 2020;Arts and Sciences;Undergraduate;Policy, Planning, and Dev;Non-Qatari;Female;5
2020-21;Summer 2020;Arts and Sciences;Undergraduate;Policy, Planning, and Dev;Non-Qatari;Male;4
2020-21;Summer 2020;Arts and Sciences;Undergraduate;Social Work;Non-Qatari;Female;2
2020-21;Summer 2020;Arts and Sciences;Undergraduate;Social Work;Qatari;Female;19
2020-21;Fall 2020;Business and Economics;Undergraduate;Accounting;Qatari;Female;38
2020-21;Fall 2020;Health Sciences;Undergraduate;Biomedical Sciences;Non-Qatari;Female;10
2020-21;Fall 2020;Business and Economics;Doctorate - PhD;Business Administration;Non-Qatari;Female;1
2020-21;Fall 2020;Engineering;Master;Engineering Management;Non-Qatari;Female;1
2020-21;Fall 2020;Sharia and Islamic Studies;Undergraduate;Fiqh and Usul;Non-Qatari;Male;3
2020-21;Fall 2020;Arts and Sciences;Doctorate - PhD;Gulf Studies;Non-Qatari;Female;1
2020-21;Fall 2020;Engineering;Undergraduate;Industrial and Systems Eng.;Non-Qatari;Female;3
2020-21;Fall 2020;Business and Economics;Undergraduate;Management;Non-Qatari;Male;1
2020-21;Fall 2020;Arts and Sciences;Undergraduate;Mass Communication;Non-Qatari;Male;7
2020-21;Fall 2020;Engineering;Master;Mechanical Engineering;Non-Qatari;Male;5
2020-21;Fall 2020;Arts and Sciences;Undergraduate;Psychology;Non-Qatari;Female;5
2020-21;Fall 2020;Health Sciences;Master;Public Health;Non-Qatari;Male;1
2020-21;Fall 2020;Law;Master;Public Law;Qatari;Female;6
2020-21;Winter 2021;Business and Economics;Undergraduate;Accounting;Non-Qatari;Male;23
2020-21;Winter 2021;Business and Economics;Undergraduate;Accounting;Qatari;Female;53
2020-21;Spring 2021;Arts and Sciences;Master;Arabic Language & Literature;Non-Qatari;Female;3
2020-21;Spring 2021;Arts and Sciences;Doctorate - PhD;Biological & Environmental Sci;Qatari;Female;1
2020-21;Spring 2021;Health Sciences;Undergraduate;Biomedical Sciences;Non-Qatari;Female;16
2020-21;Spring 2021;Arts and Sciences;Undergraduate;Chemistry;Non-Qatari;Male;1
2020-21;Spring 2021;Engineering;Undergraduate;Computer Engineering;Non-Qatari;Male;4
2020-21;Spring 2021;Sharia and Islamic Studies;Undergraduate;Creed and Dawa;Non-Qatari;Female;2
2020-21;Spring 2021;Education;Master;Educational Leadership;Non-Qatari;Female;10
2020-21;Spring 2021;Sharia and Islamic Studies;Undergraduate;Fiqh and Usul;Qatari;Female;1
2020-21;Spring 2021;Sharia and Islamic Studies;Master;Fiqh and Usul;Qatari;Male;1
2020-21;Spring 2021;Sharia and Islamic Studies;Undergraduate;Fiqh and Usul;Qatari;Male;1
2020-21;Spring 2021;Arts and Sciences;Undergraduate;History;Qatari;Female;19
2020-21;Spring 2021;Arts and Sciences;Undergraduate;History;Qatari;Male;2
2020-21;Spring 2021;Arts and Sciences;Undergraduate;International Affairs;Non-Qatari;Female;5
2020-21;Spring 2021;Business and Economics;Master;Marketing;Non-Qatari;Female;5
2020-21;Spring 2021;Business and Economics;Master;Marketing;Non-Qatari;Male;1
2020-21;Spring 2021;Business and Economics;Master;Marketing;Qatari;Female;3
2020-21;Spring 2021;Business and Economics;Undergraduate;Marketing;Qatari;Female;18
2020-21;Spring 2021;Business and Economics;Master;Marketing;Qatari;Male;1
2020-21;Spring 2021;Arts and Sciences;Undergraduate;Mathematics;Non-Qatari;Female;3
2020-21;Spring 2021;Engineering;Doctorate - PhD;Mechanical Engineering;Non-Qatari;Female;1
2020-21;Spring 2021;Medicine;Undergraduate;Medicine;Non-Qatari;Female;18
2020-21;Spring 2021;Pharmacy;Doctor in PharmD;Pharmacy;Non-Qatari;Female;14
2020-21;Spring 2021;Arts and Sciences;Undergraduate;Sociology;Non-Qatari;Female;2
2020-21;Spring 2021;Education;Diploma;Special Education;Qatari;Female;8
2021-22;Summer 2021;Engineering;Undergraduate;Civil Engineering;Non-Qatari;Male;1
2021-22;Summer 2021;Business and Economics;Undergraduate;Economics;Qatari;Female;7
2021-22;Summer 2021;Arts and Sciences;Undergraduate;Environmental Sciences;Qatari;Female;1
2021-22;Summer 2021;Sharia and Islamic Studies;Undergraduate;Fiqh and Usul;Non-Qatari;Male;1
2021-22;Summer 2021;Sharia and Islamic Studies;Undergraduate;Islamic Studies;Qatari;Male;1
2021-22;Summer 2021;Law;Undergraduate;Law;Non-Qatari;Male;1
2021-22;Summer 2021;Law;Undergraduate;Law;Qatari;Male;5
2021-22;Summer 2021;Business and Economics;Undergraduate;Management;Non-Qatari;Male;2
2021-22;Summer 2021;Business and Economics;Undergraduate;Marketing;Non-Qatari;Male;2
2021-22;Summer 2021;Engineering;Undergraduate;Mechanical Engineering;Non-Qatari;Male;3
2021-22;Fall 2021;Arts and Sciences;Undergraduate;Biological Sciences;Qatari;Female;1
2021-22;Fall 2021;Arts and Sciences;Undergraduate;Chemistry;Qatari;Female;3
2021-22;Fall 2021;Business and Economics;Undergraduate;Economics;Qatari;Male;1
2021-22;Fall 2021;Arts and Sciences;Master;Environmental Sciences;Non-Qatari;Female;2
2021-22;Fall 2021;Arts and Sciences;Undergraduate;Environmental Sciences;Qatari;Female;1
2021-22;Fall 2021;Engineering;Undergraduate;Industrial and Systems Eng.;Non-Qatari;Female;2
2021-22;Fall 2021;Law;Undergraduate;Law;Qatari;Female;117
2021-22;Fall 2021;Business and Economics;Undergraduate;Management;Non-Qatari;Male;1
2021-22;Fall 2021;Law;Master;Public Law;Qatari;Female;4
2021-22;Fall 2021;Arts and Sciences;Undergraduate;Sport Science;Non-Qatari;Male;3
